week_start,week_of_year,inflow_eur
2023-01-02,1,48250.24
2023-01-09,2,50205.77
2023-01-16,3,50980.31
2023-01-23,4,45447.81
2023-01-30,5,47604.01
2023-02-06,6,44581.57
2023-02-13,7,45319.79
2023-02-20,8,47261.07
2023-02-27,9,44565.67
2023-03-06,10,42509.85
2023-03-13,11,42447.56
2023-03-20,12,43259.32
2023-03-27,13,40761.29
2023-04-03,14,37132.94
2023-04-10,15,39834.52
2023-04-17,16,39501.79
2023-04-24,17,37626.08
2023-05-01,18,38043.54
2023-05-08,19,35745.78
2023-05-15,20,36677.49
2023-05-22,21,35088.31
2023-05-29,22,36681.68
2023-06-05,23,34986.56
2023-06-12,24,36117.47
2023-06-19,25,34838.88
2023-06-26,26,34353.64
2023-07-03,27,35216.08
2023-07-10,28,36315.81
2023-07-17,29,35449.14
2023-07-24,30,36127.40
2023-07-31,31,38301.24
2023-08-07,32,36391.55
2023-08-14,33,38020.93
2023-08-21,34,40865.80
2023-08-28,35,40146.70
2023-09-04,36,43382.69
2023-09-11,37,44106.43
2023-09-18,38,40912.93
2023-09-25,39,41337.62
2023-10-02,40,45169.06
2023-10-09,41,46489.98
2023-10-16,42,46505.98
2023-10-23,43,45203.58
2023-10-30,44,49984.49
2023-11-06,45,50142.93
2023-11-13,46,49059.69
2023-11-20,47,47501.70
2023-11-27,48,46438.60
2023-12-04,49,48916.48
2023-12-11,50,48493.60
2023-12-18,51,49821.86
2023-12-25,52,52081.79
2024-01-01,1,49336.26
2024-01-08,2,48776.82
2024-01-15,3,46465.96
2024-01-22,4,46291.23
2024-01-29,5,46976.20
2024-02-05,6,46268.90
2024-02-12,7,46103.46
2024-02-19,8,44532.08
2024-02-26,9,42338.25
2024-03-04,10,43237.08
2024-03-11,11,42298.27
2024-03-18,12,42047.30
2024-03-25,13,38755.36
2024-04-01,14,40436.75
2024-04-08,15,39860.36
2024-04-15,16,38663.99
2024-04-22,17,38432.20
2024-04-29,18,36436.63
2024-05-06,19,34089.90
2024-05-13,20,37423.67
2024-05-20,21,33982.54
2024-05-27,22,34394.42
2024-06-03,23,35456.15
2024-06-10,24,36354.44
2024-06-17,25,36467.72
2024-06-24,26,33868.97
2024-07-01,27,34393.72
2024-07-08,28,33404.53
2024-07-15,29,37698.13
2024-07-22,30,36885.39
2024-07-29,31,35607.48
2024-08-05,32,38333.24
2024-08-12,33,38871.26
2024-08-19,34,38896.04
2024-08-26,35,40432.03
2024-09-02,36,42643.36
2024-09-09,37,43327.32
2024-09-16,38,42706.99
2024-09-23,39,43463.37
2024-09-30,40,44526.12
2024-10-07,41,44502.21
2024-10-14,42,48443.25
2024-10-21,43,48306.83
2024-10-28,44,46643.60
2024-11-04,45,46384.03
2024-11-11,46,47385.60
2024-11-18,47,51165.09
2024-11-25,48,50912.12
2024-12-02,49,51728.89
2024-12-09,50,52317.05
2024-12-16,51,49090.59
2024-12-23,52,50523.98
