rate_date,currency,rate_per_eur
2019-01-02,CHF,0.942000
2019-01-02,GBP,0.858000
2019-01-02,USD,1.085000
2019-01-03,CHF,0.939352
2019-01-03,GBP,0.853734
2019-01-03,USD,1.087060
2019-01-04,CHF,0.939514
2019-01-04,GBP,0.853574
2019-01-04,USD,1.092387
2019-01-07,CHF,0.934959
2019-01-07,GBP,0.858239
2019-01-07,USD,1.093955
2019-01-08,CHF,0.932524
2019-01-08,GBP,0.853076
2019-01-08,USD,1.092991
2019-01-09,CHF,0.932825
2019-01-09,GBP,0.854626
2019-01-09,USD,1.089842
2019-01-10,CHF,0.929836
2019-01-10,GBP,0.855009
2019-01-10,USD,1.088508
2019-01-11,CHF,0.928040
2019-01-11,GBP,0.858093
2019-01-11,USD,1.088634
2019-01-14,CHF,0.926667
2019-01-14,GBP,0.852362
2019-01-14,USD,1.089903
2019-01-15,CHF,0.927949
2019-01-15,GBP,0.851184
2019-01-15,USD,1.086813
2019-01-16,CHF,0.926819
2019-01-16,GBP,0.847989
2019-01-16,USD,1.092865
2019-01-17,CHF,0.928286
2019-01-17,GBP,0.852505
2019-01-17,USD,1.088248
2019-01-18,CHF,0.931461
2019-01-18,GBP,0.849676
2019-01-18,USD,1.091225
2019-01-21,CHF,0.930199
2019-01-21,GBP,0.846248
2019-01-21,USD,1.099560
2019-01-22,CHF,0.930428
2019-01-22,GBP,0.846739
2019-01-22,USD,1.096489
2019-01-23,CHF,0.929629
2019-01-23,GBP,0.843124
2019-01-23,USD,1.093232
2019-01-24,CHF,0.929797
2019-01-24,GBP,0.840800
2019-01-24,USD,1.092119
2019-01-25,CHF,0.927106
2019-01-25,GBP,0.838372
2019-01-25,USD,1.088993
2019-01-28,CHF,0.928826
2019-01-28,GBP,0.842902
2019-01-28,USD,1.092302
2019-01-29,CHF,0.928303
2019-01-29,GBP,0.841025
2019-01-29,USD,1.084763
2019-01-30,CHF,0.927024
2019-01-30,GBP,0.842046
2019-01-30,USD,1.081334
2019-01-31,CHF,0.924163
2019-01-31,GBP,0.842643
2019-01-31,USD,1.081213
2019-02-01,CHF,0.925554
2019-02-01,GBP,0.843678
2019-02-01,USD,1.086687
2019-02-04,CHF,0.927081
2019-02-04,GBP,0.847763
2019-02-04,USD,1.083982
2019-02-05,CHF,0.924016
2019-02-05,GBP,0.846940
2019-02-05,USD,1.089248
2019-02-06,CHF,0.927564
2019-02-06,GBP,0.843889
2019-02-06,USD,1.081522
2019-02-07,CHF,0.927904
2019-02-07,GBP,0.844673
2019-02-07,USD,1.086210
2019-02-08,CHF,0.929289
2019-02-08,GBP,0.848329
2019-02-08,USD,1.088619
2019-02-11,CHF,0.931089
2019-02-11,GBP,0.847867
2019-02-11,USD,1.089254
2019-02-12,CHF,0.931180
2019-02-12,GBP,0.846933
2019-02-12,USD,1.087456
2019-02-13,CHF,0.933358
2019-02-13,GBP,0.850095
2019-02-13,USD,1.084619
2019-02-14,CHF,0.932864
2019-02-14,GBP,0.854217
2019-02-14,USD,1.083262
2019-02-15,CHF,0.933013
2019-02-15,GBP,0.854829
2019-02-15,USD,1.084882
2019-02-18,CHF,0.933992
2019-02-18,GBP,0.850323
2019-02-18,USD,1.081772
2019-02-19,CHF,0.930154
2019-02-19,GBP,0.848515
2019-02-19,USD,1.088913
2019-02-20,CHF,0.928408
2019-02-20,GBP,0.851735
2019-02-20,USD,1.088589
2019-02-21,CHF,0.925316
2019-02-21,GBP,0.848863
2019-02-21,USD,1.084560
2019-02-22,CHF,0.920872
2019-02-22,GBP,0.852430
2019-02-22,USD,1.084063
2019-02-25,CHF,0.918570
2019-02-25,GBP,0.847976
2019-02-25,USD,1.086717
2019-02-26,CHF,0.919924
2019-02-26,GBP,0.848401
2019-02-26,USD,1.083556
2019-02-27,CHF,0.920198
2019-02-27,GBP,0.845600
2019-02-27,USD,1.086073
2019-02-28,CHF,0.920952
2019-02-28,GBP,0.842790
2019-02-28,USD,1.080395
2019-03-01,CHF,0.921460
2019-03-01,GBP,0.842847
2019-03-01,USD,1.077266
2019-03-04,CHF,0.924678
2019-03-04,GBP,0.844837
2019-03-04,USD,1.074260
2019-03-05,CHF,0.925518
2019-03-05,GBP,0.842542
2019-03-05,USD,1.075799
2019-03-06,CHF,0.923047
2019-03-06,GBP,0.843898
2019-03-06,USD,1.074915
2019-03-07,CHF,0.924093
2019-03-07,GBP,0.845888
2019-03-07,USD,1.072882
2019-03-08,CHF,0.922719
2019-03-08,GBP,0.848363
2019-03-08,USD,1.064891
2019-03-11,CHF,0.924375
2019-03-11,GBP,0.855773
2019-03-11,USD,1.071695
2019-03-12,CHF,0.923815
2019-03-12,GBP,0.852098
2019-03-12,USD,1.068276
2019-03-13,CHF,0.921518
2019-03-13,GBP,0.855270
2019-03-13,USD,1.071326
2019-03-14,CHF,0.919985
2019-03-14,GBP,0.857026
2019-03-14,USD,1.072452
2019-03-15,CHF,0.917368
2019-03-15,GBP,0.858602
2019-03-15,USD,1.078507
2019-03-18,CHF,0.916698
2019-03-18,GBP,0.861613
2019-03-18,USD,1.084587
2019-03-19,CHF,0.915208
2019-03-19,GBP,0.862803
2019-03-19,USD,1.081786
2019-03-20,CHF,0.911946
2019-03-20,GBP,0.864132
2019-03-20,USD,1.074466
2019-03-21,CHF,0.910057
2019-03-21,GBP,0.865696
2019-03-21,USD,1.077531
2019-03-22,CHF,0.909341
2019-03-22,GBP,0.864459
2019-03-22,USD,1.082350
2019-03-25,CHF,0.909602
2019-03-25,GBP,0.862177
2019-03-25,USD,1.077977
2019-03-26,CHF,0.909970
2019-03-26,GBP,0.862807
2019-03-26,USD,1.081453
2019-03-27,CHF,0.908392
2019-03-27,GBP,0.865439
2019-03-27,USD,1.083800
2019-03-28,CHF,0.906347
2019-03-28,GBP,0.862910
2019-03-28,USD,1.088028
2019-03-29,CHF,0.908652
2019-03-29,GBP,0.860797
2019-03-29,USD,1.087009
2019-04-01,CHF,0.907250
2019-04-01,GBP,0.860061
2019-04-01,USD,1.094053
2019-04-02,CHF,0.906490
2019-04-02,GBP,0.866058
2019-04-02,USD,1.106838
2019-04-03,CHF,0.906583
2019-04-03,GBP,0.863823
2019-04-03,USD,1.106927
2019-04-04,CHF,0.904585
2019-04-04,GBP,0.861130
2019-04-04,USD,1.118807
2019-04-05,CHF,0.905145
2019-04-05,GBP,0.863377
2019-04-05,USD,1.108064
2019-04-08,CHF,0.906331
2019-04-08,GBP,0.863378
2019-04-08,USD,1.109713
2019-04-09,CHF,0.904409
2019-04-09,GBP,0.863698
2019-04-09,USD,1.105471
2019-04-10,CHF,0.904533
2019-04-10,GBP,0.866219
2019-04-10,USD,1.111466
2019-04-11,CHF,0.905266
2019-04-11,GBP,0.867405
2019-04-11,USD,1.114510
2019-04-12,CHF,0.905405
2019-04-12,GBP,0.866009
2019-04-12,USD,1.121999
2019-04-15,CHF,0.906744
2019-04-15,GBP,0.867049
2019-04-15,USD,1.118261
2019-04-16,CHF,0.907225
2019-04-16,GBP,0.870092
2019-04-16,USD,1.117652
2019-04-17,CHF,0.905674
2019-04-17,GBP,0.870730
2019-04-17,USD,1.115129
2019-04-18,CHF,0.906338
2019-04-18,GBP,0.872161
2019-04-18,USD,1.119801
2019-04-19,CHF,0.906313
2019-04-19,GBP,0.874591
2019-04-19,USD,1.121805
2019-04-22,CHF,0.903652
2019-04-22,GBP,0.875363
2019-04-22,USD,1.126816
2019-04-23,CHF,0.905006
2019-04-23,GBP,0.871592
2019-04-23,USD,1.128126
2019-04-24,CHF,0.906584
2019-04-24,GBP,0.870496
2019-04-24,USD,1.130110
2019-04-25,CHF,0.908708
2019-04-25,GBP,0.868091
2019-04-25,USD,1.127147
2019-04-26,CHF,0.907605
2019-04-26,GBP,0.865326
2019-04-26,USD,1.126446
2019-04-29,CHF,0.910618
2019-04-29,GBP,0.866630
2019-04-29,USD,1.122889
2019-04-30,CHF,0.912049
2019-04-30,GBP,0.871631
2019-04-30,USD,1.129084
2019-05-01,CHF,0.909613
2019-05-01,GBP,0.877788
2019-05-01,USD,1.127656
2019-05-02,CHF,0.912520
2019-05-02,GBP,0.879716
2019-05-02,USD,1.124141
2019-05-03,CHF,0.912800
2019-05-03,GBP,0.880077
2019-05-03,USD,1.126412
2019-05-06,CHF,0.914771
2019-05-06,GBP,0.875651
2019-05-06,USD,1.117022
2019-05-07,CHF,0.917961
2019-05-07,GBP,0.878872
2019-05-07,USD,1.122095
2019-05-08,CHF,0.920015
2019-05-08,GBP,0.879938
2019-05-08,USD,1.129060
2019-05-09,CHF,0.916873
2019-05-09,GBP,0.880083
2019-05-09,USD,1.137844
2019-05-10,CHF,0.916546
2019-05-10,GBP,0.882254
2019-05-10,USD,1.137682
2019-05-13,CHF,0.914917
2019-05-13,GBP,0.886426
2019-05-13,USD,1.137861
2019-05-14,CHF,0.916381
2019-05-14,GBP,0.885930
2019-05-14,USD,1.138419
2019-05-15,CHF,0.915303
2019-05-15,GBP,0.890558
2019-05-15,USD,1.138693
2019-05-16,CHF,0.916598
2019-05-16,GBP,0.891752
2019-05-16,USD,1.145886
2019-05-17,CHF,0.915385
2019-05-17,GBP,0.891316
2019-05-17,USD,1.152907
2019-05-20,CHF,0.919734
2019-05-20,GBP,0.896205
2019-05-20,USD,1.149207
2019-05-21,CHF,0.920067
2019-05-21,GBP,0.904122
2019-05-21,USD,1.149484
2019-05-22,CHF,0.923349
2019-05-22,GBP,0.902985
2019-05-22,USD,1.142966
2019-05-23,CHF,0.922915
2019-05-23,GBP,0.900497
2019-05-23,USD,1.153712
2019-05-24,CHF,0.924153
2019-05-24,GBP,0.896050
2019-05-24,USD,1.149422
2019-05-27,CHF,0.922501
2019-05-27,GBP,0.901524
2019-05-27,USD,1.153358
2019-05-28,CHF,0.921687
2019-05-28,GBP,0.898401
2019-05-28,USD,1.146351
2019-05-29,CHF,0.924722
2019-05-29,GBP,0.899835
2019-05-29,USD,1.149492
2019-05-30,CHF,0.922462
2019-05-30,GBP,0.900905
2019-05-30,USD,1.145735
2019-05-31,CHF,0.921651
2019-05-31,GBP,0.904357
2019-05-31,USD,1.132330
2019-06-03,CHF,0.919186
2019-06-03,GBP,0.905174
2019-06-03,USD,1.136968
2019-06-04,CHF,0.919104
2019-06-04,GBP,0.901443
2019-06-04,USD,1.133899
2019-06-05,CHF,0.919158
2019-06-05,GBP,0.899462
2019-06-05,USD,1.134311
2019-06-06,CHF,0.916429
2019-06-06,GBP,0.901173
2019-06-06,USD,1.129558
2019-06-07,CHF,0.915383
2019-06-07,GBP,0.901636
2019-06-07,USD,1.130410
2019-06-10,CHF,0.916731
2019-06-10,GBP,0.896787
2019-06-10,USD,1.123874
