partner_id,due_date,paid_date,delay_days
BP-001,2023-01-02,2023-01-05,3
BP-002,2023-01-03,2022-12-31,-3
BP-003,2023-01-04,2023-01-05,1
BP-004,2023-01-05,2023-01-14,9
BP-005,2023-01-06,2023-01-17,11
BP-006,2023-01-02,2023-01-01,-1
BP-004,2023-01-09,2023-01-23,14
BP-005,2023-01-10,2023-01-18,8
BP-006,2023-01-11,2023-01-07,-4
BP-001,2023-01-12,2023-01-17,5
BP-002,2023-01-13,2023-01-12,-1
BP-003,2023-01-09,2023-01-10,1
BP-001,2023-01-16,2023-01-20,4
BP-002,2023-01-17,2023-01-16,-1
BP-003,2023-01-18,2023-01-23,5
BP-004,2023-01-19,2023-01-27,8
BP-005,2023-01-20,2023-01-26,6
BP-006,2023-01-16,2023-01-15,-1
BP-004,2023-01-23,2023-02-12,20
BP-005,2023-01-24,2023-01-29,5
BP-006,2023-01-25,2023-01-24,-1
BP-001,2023-01-26,2023-02-01,6
BP-002,2023-01-27,2023-01-27,0
BP-003,2023-01-23,2023-01-24,1
BP-001,2023-01-30,2023-02-01,2
BP-002,2023-01-31,2023-01-30,-1
BP-003,2023-02-01,2023-02-03,2
BP-004,2023-02-02,2023-02-15,13
BP-005,2023-02-03,2023-02-10,7
BP-006,2023-01-30,2023-01-27,-3
BP-004,2023-02-06,2023-02-22,16
BP-005,2023-02-07,2023-02-19,12
BP-006,2023-02-08,2023-02-04,-4
BP-001,2023-02-09,2023-02-15,6
BP-002,2023-02-10,2023-02-08,-2
BP-003,2023-02-06,2023-02-08,2
BP-001,2023-02-13,2023-02-15,2
BP-002,2023-02-14,2023-02-11,-3
BP-003,2023-02-15,2023-02-17,2
BP-004,2023-02-16,2023-02-25,9
BP-005,2023-02-17,2023-02-22,5
BP-006,2023-02-13,2023-02-12,-1
BP-004,2023-02-20,2023-03-12,20
BP-005,2023-02-21,2023-03-02,9
BP-006,2023-02-22,2023-02-20,-2
BP-001,2023-02-23,2023-02-27,4
BP-002,2023-02-24,2023-02-21,-3
BP-003,2023-02-20,2023-02-23,3
BP-001,2023-02-27,2023-03-05,6
BP-002,2023-02-28,2023-02-24,-4
BP-003,2023-03-01,2023-03-03,2
BP-004,2023-03-02,2023-03-10,8
BP-005,2023-03-03,2023-03-13,10
BP-006,2023-02-27,2023-02-24,-3
BP-004,2023-03-06,2023-03-13,7
BP-005,2023-03-07,2023-03-12,5
BP-006,2023-03-08,2023-03-04,-4
BP-001,2023-03-09,2023-03-12,3
BP-002,2023-03-10,2023-03-07,-3
BP-003,2023-03-06,2023-03-09,3
BP-001,2023-03-13,2023-03-17,4
BP-002,2023-03-14,2023-03-11,-3
BP-003,2023-03-15,2023-03-17,2
BP-004,2023-03-16,2023-03-28,12
BP-005,2023-03-17,2023-03-27,10
BP-006,2023-03-13,2023-03-08,-5
BP-004,2023-03-20,2023-03-31,11
BP-005,2023-03-21,2023-04-01,11
BP-006,2023-03-22,2023-03-20,-2
BP-001,2023-03-23,2023-03-29,6
BP-002,2023-03-24,2023-03-22,-2
BP-003,2023-03-20,2023-03-22,2
BP-001,2023-03-27,2023-03-28,1
BP-002,2023-03-28,2023-03-27,-1
BP-003,2023-03-29,2023-03-28,-1
BP-004,2023-03-30,2023-04-16,17
BP-005,2023-03-31,2023-04-05,5
BP-006,2023-03-27,2023-03-24,-3
BP-004,2023-04-03,2023-04-14,11
BP-005,2023-04-04,2023-04-08,4
BP-006,2023-04-05,2023-04-03,-2
BP-001,2023-04-06,2023-04-07,1
BP-002,2023-04-07,2023-04-06,-1
BP-003,2023-04-03,2023-04-07,4
BP-001,2023-04-10,2023-04-14,4
BP-002,2023-04-11,2023-04-07,-4
BP-003,2023-04-12,2023-04-13,1
BP-004,2023-04-13,2023-04-25,12
