as_of,target_date,horizon_days,procedure_version
2025-08-18,2025-08-25,7,v4
2025-08-25,2025-09-01,7,v4
2025-09-01,2025-09-08,7,v4
2025-09-08,2025-09-15,7,v4
2025-09-15,2025-09-22,7,v4
2025-09-22,2025-09-29,7,v4
2025-09-29,2025-10-06,7,v4
2025-10-06,2025-10-13,7,v4
2025-10-13,2025-10-20,7,v4
2025-10-20,2025-10-27,7,v4
2025-10-27,2025-11-03,7,v4
2025-11-03,2025-11-10,7,v4
2025-11-10,2025-11-17,7,v4
2025-11-17,2025-11-24,7,v4
2025-11-24,2025-12-01,7,v4
2025-12-01,2025-12-08,7,v4
2025-12-08,2025-12-15,7,v4
2025-12-15,2025-12-22,7,v4
2025-12-22,2025-12-29,7,v4
2025-12-29,2026-01-05,7,v4
2026-01-05,2026-01-12,7,v4
2026-01-12,2026-01-19,7,v4
2026-01-19,2026-01-26,7,v4
2026-01-26,2026-02-02,7,v4
2026-02-02,2026-02-09,7,v4
2026-02-09,2026-02-16,7,v4
2026-02-16,2026-02-23,7,v4
2026-02-23,2026-03-02,7,v4
2026-03-02,2026-03-09,7,v4
2026-03-09,2026-03-16,7,v4
2026-03-16,2026-03-23,7,v4
2026-03-23,2026-03-30,7,v4
2026-03-30,2026-04-06,7,v4
2026-04-06,2026-04-13,7,v4
2026-04-13,2026-04-20,7,v4
2026-04-20,2026-04-27,7,v4
2026-04-27,2026-05-04,7,v4
2026-05-04,2026-05-11,7,v4
2026-05-11,2026-05-18,7,v4
2026-05-18,2026-05-25,7,v4
2026-05-25,2026-06-01,7,v4
2026-06-01,2026-06-08,7,v4
2026-06-08,2026-06-15,7,v4
2026-06-15,2026-06-22,7,v4
2026-06-22,2026-06-29,7,v4
2026-06-29,2026-07-06,7,v4
2026-07-06,2026-07-13,7,v4
2026-07-13,2026-07-20,7,v4
2026-07-20,2026-07-27,7,v4
2026-07-27,2026-08-03,7,v4
2026-08-03,2026-08-10,7,v4
2026-08-10,2026-08-17,7,v4
2026-08-17,2026-08-24,7,v4
2026-08-17,2026-08-31,14,v4
2026-08-17,2026-09-07,21,v4
2026-08-17,2026-09-14,28,v4
2026-08-17,2026-09-21,35,v4
2026-08-17,2026-09-28,42,v4
2026-08-17,2026-10-05,49,v4
2026-08-17,2026-10-12,56,v4
2026-08-17,2026-10-19,63,v4
2026-08-17,2026-10-26,70,v4
2026-08-17,2026-11-02,77,v4
2026-08-17,2026-11-09,84,v4
2026-08-17,2026-11-16,91,v4
