invoice_id,issued_date,due_date,paid_date,amount,currency,supplier_id,status,payment_terms_days,cash_discount_percent,cash_discount_days
EK-2024-1001,2024-07-23,2024-08-22,2024-08-19,11602.68,EUR,SUP-001,paid,30,2,10
EK-2024-1002,2024-07-21,2024-08-20,2024-08-20,15596.03,EUR,SUP-002,paid,30,,
EK-2024-1003,2024-07-24,2024-08-23,2024-08-21,9601.54,EUR,SUP-003,paid,30,,
EK-2024-1004,2024-07-27,2024-08-26,2024-08-26,11581.70,EUR,SUP-004,paid,30,,
EK-2024-1005,2024-07-27,2024-08-26,2024-08-27,14177.44,EUR,SUP-005,paid,30,2,10
EK-2024-1006,2024-07-29,2024-08-28,2024-08-28,8779.72,EUR,SUP-001,paid,30,2,10
EK-2024-1007,2024-08-04,2024-09-03,2024-09-02,16019.90,EUR,SUP-002,paid,30,,
EK-2024-1008,2024-08-07,2024-09-06,2024-09-03,9140.94,EUR,SUP-003,paid,30,,
EK-2024-1009,2024-08-08,2024-09-07,2024-09-04,11392.11,EUR,SUP-004,paid,30,,
EK-2024-1010,2024-08-12,2024-09-11,2024-09-09,11034.52,EUR,SUP-005,paid,30,2,10
EK-2024-1011,2024-08-13,2024-09-12,2024-09-10,12871.41,EUR,SUP-001,paid,30,2,10
EK-2024-1012,2024-08-13,2024-09-12,2024-09-11,14727.63,EUR,SUP-002,paid,30,,
EK-2024-1013,2024-08-16,2024-09-15,2024-09-16,11241.89,EUR,SUP-003,paid,30,,
EK-2024-1014,2024-08-20,2024-09-19,2024-09-17,12039.56,EUR,SUP-004,paid,30,,
EK-2024-1015,2024-08-19,2024-09-18,2024-09-18,12904.90,EUR,SUP-005,paid,30,2,10
EK-2024-1016,2024-08-24,2024-09-23,2024-09-23,12601.78,EUR,SUP-001,paid,30,2,10
EK-2024-1017,2024-08-26,2024-09-25,2024-09-24,12719.23,EUR,SUP-002,paid,30,,
EK-2024-1018,2024-08-28,2024-09-27,2024-09-25,12947.24,EUR,SUP-003,paid,30,,
EK-2024-1019,2024-09-01,2024-10-01,2024-09-30,13879.08,EUR,SUP-004,paid,30,,
EK-2024-1020,2024-09-02,2024-10-02,2024-10-01,13410.71,EUR,SUP-005,paid,30,2,10
EK-2024-1021,2024-09-03,2024-10-03,2024-10-02,13090.81,EUR,SUP-001,paid,30,2,10
EK-2024-1022,2024-09-09,2024-10-09,2024-10-07,12087.05,EUR,SUP-002,paid,30,,
EK-2024-1023,2024-09-08,2024-10-08,2024-10-08,10613.56,EUR,SUP-003,paid,30,,
EK-2024-1024,2024-09-08,2024-10-08,2024-10-09,19808.54,EUR,SUP-004,paid,30,,
EK-2024-1025,2024-09-13,2024-10-13,2024-10-14,15470.85,EUR,SUP-005,paid,30,2,10
EK-2024-1026,2024-09-15,2024-10-15,2024-10-15,13116.23,EUR,SUP-001,paid,30,2,10
EK-2024-1027,2024-09-18,2024-10-18,2024-10-16,11107.31,EUR,SUP-002,paid,30,,
EK-2024-1028,2024-09-21,2024-10-21,2024-10-21,16662.77,EUR,SUP-003,paid,30,,
EK-2024-1029,2024-09-21,2024-10-21,2024-10-22,13787.31,EUR,SUP-004,paid,30,,
EK-2024-1030,2024-09-23,2024-10-23,2024-10-23,11282.02,EUR,SUP-005,paid,30,2,10
EK-2024-1031,2024-09-29,2024-10-29,2024-10-28,11206.39,EUR,SUP-001,paid,30,2,10
EK-2024-1032,2024-10-02,2024-11-01,2024-10-29,18108.91,EUR,SUP-002,paid,30,,
EK-2024-1033,2024-10-03,2024-11-02,2024-10-30,14430.87,EUR,SUP-003,paid,30,,
EK-2024-1034,2024-10-07,2024-11-06,2024-11-04,11494.97,EUR,SUP-004,paid,30,,
EK-2024-1035,2024-10-08,2024-11-07,2024-11-05,16332.44,EUR,SUP-005,paid,30,2,10
EK-2024-1036,2024-10-08,2024-11-07,2024-11-06,12743.54,EUR,SUP-001,paid,30,2,10
EK-2024-1037,2024-10-11,2024-11-10,2024-11-11,15979.92,EUR,SUP-002,paid,30,,
EK-2024-1038,2024-10-15,2024-11-14,2024-11-12,10580.44,EUR,SUP-003,paid,30,,
EK-2024-1039,2024-10-14,2024-11-13,2024-11-13,15880.30,EUR,SUP-004,paid,30,,
EK-2024-1040,2024-10-19,2024-11-18,2024-11-18,17116.46,EUR,SUP-005,paid,30,2,10
EK-2024-1041,2024-10-21,2024-11-20,2024-11-19,11492.54,EUR,SUP-001,paid,30,2,10
EK-2024-1042,2024-10-23,2024-11-22,2024-11-20,15641.90,EUR,SUP-002,paid,30,,
EK-2024-1043,2024-10-27,2024-11-26,2024-11-25,11873.62,EUR,SUP-003,paid,30,,
EK-2024-1044,2024-10-28,2024-11-27,2024-11-26,15090.93,EUR,SUP-004,paid,30,,
EK-2024-1045,2024-10-29,2024-11-28,2024-11-27,19023.18,EUR,SUP-005,paid,30,2,10
EK-2024-1046,2024-11-04,2024-12-04,2024-12-02,14916.56,EUR,SUP-001,paid,30,2,10
EK-2024-1047,2024-11-03,2024-12-03,2024-12-03,17338.61,EUR,SUP-002,paid,30,,
EK-2024-1048,2024-11-07,2024-12-07,2024-12-04,10095.68,EUR,SUP-003,paid,30,,
EK-2024-1049,2024-11-08,2024-12-08,2024-12-09,16067.32,EUR,SUP-004,paid,30,,
EK-2024-1050,2024-11-10,2024-12-10,2024-12-10,17508.98,EUR,SUP-005,paid,30,2,10
EK-2024-1051,2024-11-12,2024-12-12,2024-12-11,10320.25,EUR,SUP-001,paid,30,2,10
EK-2024-1052,2024-11-16,2024-12-16,2024-12-16,13679.77,EUR,SUP-002,paid,30,,
EK-2024-1053,2024-11-16,2024-12-16,2024-12-17,14714.71,EUR,SUP-003,paid,30,,
EK-2024-1054,2024-11-18,2024-12-18,2024-12-18,16950.11,EUR,SUP-004,paid,30,,
EK-2024-1055,2024-11-24,2024-12-24,2024-12-23,13509.35,EUR,SUP-005,paid,30,2,10
EK-2024-1056,2024-11-27,2024-12-27,2024-12-24,13476.33,EUR,SUP-001,paid,30,2,10
EK-2024-1057,2024-11-27,2024-12-27,2024-12-25,14430.53,EUR,SUP-002,paid,30,,
EK-2024-1058,2024-12-02,2025-01-01,2024-12-30,14678.32,EUR,SUP-003,paid,30,,
EK-2024-1059,2024-12-03,2025-01-02,2024-12-31,13912.18,EUR,SUP-004,paid,30,,
EK-2025-1001,2024-12-03,2025-01-02,2025-01-01,14081.42,EUR,SUP-005,paid,30,2,10
EK-2025-1002,2024-12-06,2025-01-05,2025-01-06,15664.79,EUR,SUP-001,paid,30,2,10
EK-2025-1003,2024-12-10,2025-01-09,2025-01-07,14307.23,EUR,SUP-002,paid,30,,
EK-2025-1004,2024-12-08,2025-01-07,2025-01-08,13846.42,EUR,SUP-003,paid,30,,
EK-2025-1005,2024-12-14,2025-01-13,2025-01-13,10576.22,EUR,SUP-004,paid,30,,
EK-2025-1006,2024-12-17,2025-01-16,2025-01-14,17731.24,EUR,SUP-005,paid,30,2,10
EK-2025-1007,2024-12-18,2025-01-17,2025-01-15,16544.05,EUR,SUP-001,paid,30,2,10
EK-2025-1008,2024-12-22,2025-01-21,2025-01-20,13039.50,EUR,SUP-002,paid,30,,
EK-2025-1009,2024-12-23,2025-01-22,2025-01-21,10112.69,EUR,SUP-003,paid,30,,
EK-2025-1010,2024-12-23,2025-01-22,2025-01-22,17526.75,EUR,SUP-004,paid,30,,
EK-2025-1011,2024-12-30,2025-01-29,2025-01-27,17504.68,EUR,SUP-005,paid,30,2,10
EK-2025-1012,2024-12-30,2025-01-29,2025-01-28,13422.97,EUR,SUP-001,paid,30,2,10
EK-2025-1013,2025-01-02,2025-02-01,2025-01-29,10621.83,EUR,SUP-002,paid,30,,
EK-2025-1014,2025-01-03,2025-02-02,2025-02-03,11348.01,EUR,SUP-003,paid,30,,
EK-2025-1015,2025-01-05,2025-02-04,2025-02-04,17478.14,EUR,SUP-004,paid,30,,
EK-2025-1016,2025-01-07,2025-02-06,2025-02-05,13488.01,EUR,SUP-005,paid,30,2,10
EK-2025-1017,2025-01-11,2025-02-10,2025-02-10,11266.51,EUR,SUP-001,paid,30,2,10
EK-2025-1018,2025-01-12,2025-02-11,2025-02-11,15282.84,EUR,SUP-002,paid,30,,
EK-2025-1019,2025-01-13,2025-02-12,2025-02-12,11566.07,EUR,SUP-003,paid,30,,
EK-2025-1020,2025-01-19,2025-02-18,2025-02-17,12251.97,EUR,SUP-004,paid,30,,
EK-2025-1021,2025-01-18,2025-02-17,2025-02-18,15195.38,EUR,SUP-005,paid,30,2,10
EK-2025-1022,2025-01-22,2025-02-21,2025-02-19,11321.90,EUR,SUP-001,paid,30,2,10
EK-2025-1023,2025-01-27,2025-02-26,2025-02-24,15955.21,EUR,SUP-002,paid,30,,
EK-2025-1024,2025-01-29,2025-02-28,2025-02-25,9766.39,EUR,SUP-003,paid,30,,
EK-2025-1025,2025-01-28,2025-02-27,2025-02-26,13616.03,EUR,SUP-004,paid,30,,
EK-2025-1026,2025-01-31,2025-03-02,2025-03-03,10712.14,EUR,SUP-005,paid,30,2,10
EK-2025-1027,2025-02-04,2025-03-06,2025-03-04,12779.00,EUR,SUP-001,paid,30,2,10
EK-2025-1028,2025-02-02,2025-03-04,2025-03-05,16337.68,EUR,SUP-002,paid,30,,
EK-2025-1029,2025-02-08,2025-03-10,2025-03-10,10496.69,EUR,SUP-003,paid,30,,
EK-2025-1030,2025-02-11,2025-03-13,2025-03-11,11519.00,EUR,SUP-004,paid,30,,
EK-2025-1031,2025-02-12,2025-03-14,2025-03-12,13751.68,EUR,SUP-005,paid,30,2,10
EK-2025-1032,2025-02-16,2025-03-18,2025-03-17,13911.07,EUR,SUP-001,paid,30,2,10
EK-2025-1033,2025-02-17,2025-03-19,2025-03-18,14386.20,EUR,SUP-002,paid,30,,
EK-2025-1034,2025-02-17,2025-03-19,2025-03-19,7936.46,EUR,SUP-003,paid,30,,
EK-2025-1035,2025-02-24,2025-03-26,2025-03-24,11771.27,EUR,SUP-004,paid,30,,
EK-2025-1036,2025-02-24,2025-03-26,2025-03-25,11511.61,EUR,SUP-005,paid,30,2,10
EK-2025-1037,2025-02-27,2025-03-29,2025-03-26,13374.23,EUR,SUP-001,paid,30,2,10
EK-2025-1038,2025-02-28,2025-03-30,2025-03-31,12760.27,EUR,SUP-002,paid,30,,
EK-2025-1039,2025-03-02,2025-04-01,2025-04-01,11737.58,EUR,SUP-003,paid,30,,
EK-2025-1040,2025-03-04,2025-04-03,2025-04-02,12553.19,EUR,SUP-004,paid,30,,
EK-2025-1041,2025-03-08,2025-04-07,2025-04-07,12022.96,EUR,SUP-005,paid,30,2,10
EK-2025-1042,2025-03-09,2025-04-08,2025-04-08,10620.50,EUR,SUP-001,paid,30,2,10
EK-2025-1043,2025-03-09,2025-04-08,2025-04-09,10676.44,EUR,SUP-002,paid,30,,
EK-2025-1044,2025-03-16,2025-04-15,2025-04-14,12603.30,EUR,SUP-003,paid,30,,
EK-2025-1045,2025-03-15,2025-04-14,2025-04-15,10817.28,EUR,SUP-004,paid,30,,
EK-2025-1046,2025-03-19,2025-04-18,2025-04-16,10363.04,EUR,SUP-005,paid,30,2,10
EK-2025-1047,2025-03-24,2025-04-23,2025-04-21,8364.87,EUR,SUP-001,paid,30,2,10
EK-2025-1048,2025-03-26,2025-04-25,2025-04-22,13473.58,EUR,SUP-002,paid,30,,
EK-2025-1049,2025-03-24,2025-04-23,2025-04-23,12419.64,EUR,SUP-003,paid,30,,
EK-2025-1050,2025-03-28,2025-04-27,2025-04-28,10380.42,EUR,SUP-004,paid,30,,
EK-2025-1051,2025-04-01,2025-05-01,2025-04-29,7260.63,EUR,SUP-005,paid,30,2,10
EK-2025-1052,2025-04-03,2025-05-03,2025-04-30,13236.73,EUR,SUP-001,paid,30,2,10
EK-2025-1053,2025-04-05,2025-05-05,2025-05-05,11081.85,EUR,SUP-002,paid,30,,
EK-2025-1054,2025-04-08,2025-05-08,2025-05-06,7796.63,EUR,SUP-003,paid,30,,
EK-2025-1055,2025-04-08,2025-05-08,2025-05-07,12602.74,EUR,SUP-004,paid,30,,
EK-2025-1056,2025-04-14,2025-05-14,2025-05-12,9076.35,EUR,SUP-005,paid,30,2,10
EK-2025-1057,2025-04-14,2025-05-14,2025-05-13,13238.56,EUR,SUP-001,paid,30,2,10
EK-2025-1058,2025-04-14,2025-05-14,2025-05-14,9818.29,EUR,SUP-002,paid,30,,
EK-2025-1059,2025-04-22,2025-05-22,2025-05-19,10176.14,EUR,SUP-003,paid,30,,
EK-2025-1060,2025-04-21,2025-05-21,2025-05-20,13109.97,EUR,SUP-004,paid,30,,
EK-2025-1061,2025-04-23,2025-05-23,2025-05-21,9562.29,EUR,SUP-005,paid,30,2,10
EK-2025-1062,2025-04-26,2025-05-26,2025-05-26,9870.81,EUR,SUP-001,paid,30,2,10
EK-2025-1063,2025-04-27,2025-05-27,2025-05-27,11668.02,EUR,SUP-002,paid,30,,
EK-2025-1064,2025-04-29,2025-05-29,2025-05-28,8400.52,EUR,SUP-003,paid,30,,
EK-2025-1065,2025-05-04,2025-06-03,2025-06-02,13174.78,EUR,SUP-004,paid,30,,
EK-2025-1066,2025-05-04,2025-06-03,2025-06-03,7251.14,EUR,SUP-005,paid,30,2,10
EK-2025-1067,2025-05-04,2025-06-03,2025-06-04,10414.30,EUR,SUP-001,paid,30,2,10
EK-2025-1068,2025-05-12,2025-06-11,2025-06-09,8960.33,EUR,SUP-002,paid,30,,
EK-2025-1069,2025-05-10,2025-06-09,2025-06-10,9942.67,EUR,SUP-003,paid,30,,
EK-2025-1070,2025-05-14,2025-06-13,2025-06-11,12929.30,EUR,SUP-004,paid,30,,
EK-2025-1071,2025-05-20,2025-06-19,2025-06-16,8947.44,EUR,SUP-005,paid,30,2,10
EK-2025-1072,2025-05-21,2025-06-20,2025-06-17,9206.24,EUR,SUP-001,paid,30,2,10
EK-2025-1073,2025-05-19,2025-06-18,2025-06-18,11088.51,EUR,SUP-002,paid,30,,
EK-2025-1074,2025-05-24,2025-06-23,2025-06-23,9872.85,EUR,SUP-003,paid,30,,
EK-2025-1075,2025-05-27,2025-06-26,2025-06-24,9637.06,EUR,SUP-004,paid,30,,
EK-2025-1076,2025-05-29,2025-06-28,2025-06-25,10919.78,EUR,SUP-005,paid,30,2,10
EK-2025-1077,2025-06-01,2025-07-01,2025-06-30,13053.15,EUR,SUP-001,paid,30,2,10
EK-2025-1078,2025-06-03,2025-07-03,2025-07-01,12255.27,EUR,SUP-002,paid,30,,
EK-2025-1079,2025-06-03,2025-07-03,2025-07-02,6415.93,EUR,SUP-003,paid,30,,
EK-2025-1080,2025-06-09,2025-07-09,2025-07-07,12128.73,EUR,SUP-004,paid,30,,
EK-2025-1081,2025-06-09,2025-07-09,2025-07-08,10157.27,EUR,SUP-005,paid,30,2,10
EK-2025-1082,2025-06-09,2025-07-09,2025-07-09,10846.17,EUR,SUP-001,paid,30,2,10
EK-2025-1083,2025-06-17,2025-07-17,2025-07-14,11729.51,EUR,SUP-002,paid,30,,
