invoice_id,issued_date,due_date,paid_date,amount,currency,customer_id,status,payment_terms_days
RE-2024-1001,2024-07-21,2024-08-04,2024-08-19,11426.99,EUR,BP-004,paid,14
RE-2024-1002,2024-07-16,2024-08-15,2024-08-20,16043.24,EUR,BP-005,paid,30
RE-2024-1003,2024-07-24,2024-08-23,2024-08-21,13878.36,EUR,BP-006,paid,30
RE-2024-1004,2024-07-23,2024-08-22,2024-08-26,11729.79,EUR,BP-001,paid,30
RE-2024-1005,2024-08-15,2024-08-29,2024-08-27,14733.67,EUR,BP-002,paid,14
RE-2024-1006,2024-07-29,2024-08-28,2024-08-28,12344.25,EUR,BP-003,paid,30
RE-2024-1007,2024-08-12,2024-08-26,2024-09-02,13209.71,EUR,BP-004,paid,14
RE-2024-1008,2024-07-28,2024-08-27,2024-09-03,15336.49,EUR,BP-005,paid,30
RE-2024-1009,2024-08-08,2024-09-07,2024-09-04,12524.53,EUR,BP-006,paid,30
RE-2024-1010,2024-08-03,2024-09-02,2024-09-09,17825.68,EUR,BP-001,paid,30
RE-2024-1011,2024-08-28,2024-09-11,2024-09-10,9977.13,EUR,BP-002,paid,14
RE-2024-1012,2024-08-08,2024-09-07,2024-09-11,15605.68,EUR,BP-003,paid,30
RE-2024-1013,2024-08-18,2024-09-01,2024-09-16,11228.88,EUR,BP-004,paid,14
RE-2024-1014,2024-08-08,2024-09-07,2024-09-17,12191.05,EUR,BP-005,paid,30
RE-2024-1015,2024-08-23,2024-09-22,2024-09-18,17238.89,EUR,BP-006,paid,30
RE-2024-1016,2024-08-20,2024-09-19,2024-09-23,12877.43,EUR,BP-001,paid,30
RE-2024-1017,2024-09-10,2024-09-24,2024-09-24,13060.67,EUR,BP-002,paid,14
RE-2024-1018,2024-08-23,2024-09-22,2024-09-25,17059.93,EUR,BP-003,paid,30
RE-2024-1019,2024-09-09,2024-09-23,2024-09-30,17667.34,EUR,BP-004,paid,14
RE-2024-1020,2024-08-30,2024-09-29,2024-10-01,17072.24,EUR,BP-005,paid,30
RE-2024-1021,2024-09-07,2024-10-07,2024-10-02,10631.88,EUR,BP-006,paid,30
RE-2024-1022,2024-08-31,2024-09-30,2024-10-07,11859.69,EUR,BP-001,paid,30
RE-2024-1023,2024-09-27,2024-10-11,2024-10-08,22088.04,EUR,BP-002,paid,14
RE-2024-1024,2024-09-08,2024-10-08,2024-10-09,13815.36,EUR,BP-003,paid,30
RE-2024-1025,2024-09-15,2024-09-29,2024-10-14,15679.88,EUR,BP-004,paid,14
RE-2024-1026,2024-09-10,2024-10-10,2024-10-15,13061.90,EUR,BP-005,paid,30
RE-2024-1027,2024-09-18,2024-10-18,2024-10-16,15858.65,EUR,BP-006,paid,30
RE-2024-1028,2024-09-17,2024-10-17,2024-10-21,17197.38,EUR,BP-001,paid,30
RE-2024-1029,2024-10-10,2024-10-24,2024-10-22,13985.57,EUR,BP-002,paid,14
RE-2024-1030,2024-09-23,2024-10-23,2024-10-23,15707.05,EUR,BP-003,paid,30
RE-2024-1031,2024-10-07,2024-10-21,2024-10-28,18584.95,EUR,BP-004,paid,14
RE-2024-1032,2024-09-22,2024-10-22,2024-10-29,14858.63,EUR,BP-005,paid,30
RE-2024-1033,2024-10-03,2024-11-02,2024-10-30,15709.42,EUR,BP-006,paid,30
RE-2024-1034,2024-09-29,2024-10-29,2024-11-04,11447.73,EUR,BP-001,paid,30
RE-2024-1035,2024-10-23,2024-11-06,2024-11-05,17005.59,EUR,BP-002,paid,14
RE-2024-1036,2024-10-02,2024-11-01,2024-11-06,17132.02,EUR,BP-003,paid,30
RE-2024-1037,2024-10-13,2024-10-27,2024-11-11,13157.02,EUR,BP-004,paid,14
RE-2024-1038,2024-10-03,2024-11-02,2024-11-12,17541.61,EUR,BP-005,paid,30
RE-2024-1039,2024-10-18,2024-11-17,2024-11-13,16987.51,EUR,BP-006,paid,30
RE-2024-1040,2024-10-16,2024-11-15,2024-11-18,22502.25,EUR,BP-001,paid,30
RE-2024-1041,2024-11-05,2024-11-19,2024-11-19,14481.67,EUR,BP-002,paid,14
RE-2024-1042,2024-10-18,2024-11-17,2024-11-20,12736.19,EUR,BP-003,paid,30
RE-2024-1043,2024-11-05,2024-11-19,2024-11-25,15045.18,EUR,BP-004,paid,14
RE-2024-1044,2024-10-15,2024-11-14,2024-11-26,19874.47,EUR,BP-005,paid,30
RE-2024-1045,2024-11-02,2024-12-02,2024-11-27,16751.95,EUR,BP-006,paid,30
RE-2024-1046,2024-10-27,2024-11-26,2024-12-02,15074.62,EUR,BP-001,paid,30
RE-2024-1047,2024-11-23,2024-12-07,2024-12-03,17899.65,EUR,BP-002,paid,14
RE-2024-1048,2024-11-02,2024-12-02,2024-12-04,14610.96,EUR,BP-003,paid,30
RE-2024-1049,2024-11-11,2024-11-25,2024-12-09,16548.98,EUR,BP-004,paid,14
RE-2024-1050,2024-11-06,2024-12-06,2024-12-10,18247.42,EUR,BP-005,paid,30
RE-2024-1051,2024-11-13,2024-12-13,2024-12-11,14525.56,EUR,BP-006,paid,30
RE-2024-1052,2024-11-13,2024-12-13,2024-12-16,17823.40,EUR,BP-001,paid,30
RE-2024-1053,2024-12-06,2024-12-20,2024-12-17,18608.52,EUR,BP-002,paid,14
RE-2024-1054,2024-11-18,2024-12-18,2024-12-18,14517.06,EUR,BP-003,paid,30
RE-2024-1055,2024-12-03,2024-12-17,2024-12-23,13454.22,EUR,BP-004,paid,14
RE-2024-1056,2024-11-17,2024-12-17,2024-12-24,13483.45,EUR,BP-005,paid,30
RE-2024-1057,2024-11-28,2024-12-28,2024-12-25,19597.40,EUR,BP-006,paid,30
RE-2024-1058,2024-11-24,2024-12-24,2024-12-30,14972.06,EUR,BP-001,paid,30
RE-2024-1059,2024-12-19,2025-01-02,2024-12-31,14159.94,EUR,BP-002,paid,14
RE-2025-1001,2024-11-27,2024-12-27,2025-01-01,18813.97,EUR,BP-003,paid,30
RE-2025-1002,2024-12-09,2024-12-23,2025-01-06,16236.75,EUR,BP-004,paid,14
RE-2025-1003,2024-11-29,2024-12-29,2025-01-07,14748.39,EUR,BP-005,paid,30
RE-2025-1004,2024-12-12,2025-01-11,2025-01-08,18249.06,EUR,BP-006,paid,30
RE-2025-1005,2024-12-11,2025-01-10,2025-01-13,13071.90,EUR,BP-001,paid,30
RE-2025-1006,2025-01-01,2025-01-15,2025-01-14,23466.25,EUR,BP-002,paid,14
RE-2025-1007,2024-12-12,2025-01-11,2025-01-15,13856.81,EUR,BP-003,paid,30
RE-2025-1008,2024-12-31,2025-01-14,2025-01-20,17074.64,EUR,BP-004,paid,14
RE-2025-1009,2024-12-10,2025-01-09,2025-01-21,12823.42,EUR,BP-005,paid,30
RE-2025-1010,2024-12-27,2025-01-26,2025-01-22,15808.61,EUR,BP-006,paid,30
RE-2025-1011,2024-12-22,2025-01-21,2025-01-27,18044.57,EUR,BP-001,paid,30
RE-2025-1012,2025-01-18,2025-02-01,2025-01-28,13459.74,EUR,BP-002,paid,14
RE-2025-1013,2024-12-28,2025-01-27,2025-01-29,15180.49,EUR,BP-003,paid,30
RE-2025-1014,2025-01-06,2025-01-20,2025-02-03,18825.59,EUR,BP-004,paid,14
RE-2025-1015,2025-01-01,2025-01-31,2025-02-04,13976.20,EUR,BP-005,paid,30
RE-2025-1016,2025-01-07,2025-02-06,2025-02-05,14742.21,EUR,BP-006,paid,30
RE-2025-1017,2025-01-08,2025-02-07,2025-02-10,11184.20,EUR,BP-001,paid,30
RE-2025-1018,2025-01-31,2025-02-14,2025-02-11,15812.77,EUR,BP-002,paid,14
RE-2025-1019,2025-01-12,2025-02-11,2025-02-12,15829.35,EUR,BP-003,paid,30
RE-2025-1020,2025-01-28,2025-02-11,2025-02-17,12469.34,EUR,BP-004,paid,14
RE-2025-1021,2025-01-12,2025-02-11,2025-02-18,15864.50,EUR,BP-005,paid,30
