invoice_id,partner_id,due_date,amount,currency,procedure_version
RE-2026-0032,BP-004,2026-06-17,7400.00,EUR,v1
RE-2026-0035,BP-001,2026-07-05,11500.00,EUR,v1
RE-2026-0036,BP-006,2026-07-12,6800.00,EUR,v1
RE-2026-0037,BP-004,2026-07-22,4100.00,EUR,v1
RE-2026-0040,BP-002,2026-09-15,8800.00,EUR,v1
RE-2026-0041,BP-001,2026-09-22,16500.00,EUR,v1
RE-2026-0042,BP-005,2026-09-29,24000.00,EUR,v1
RE-2026-0043,BP-006,2026-10-06,5600.00,EUR,v1
RE-2026-0044,BP-004,2026-10-13,3900.00,EUR,v1
RE-2026-0046,BP-003,2026-10-20,7200.00,EUR,v1
RE-2026-0047,BP-007,2026-11-10,12400.00,EUR,v1
RE-2026-0048,BP-005,2026-11-17,18000.00,EUR,v1
RE-2026-0049,BP-001,2026-11-03,9600.00,EUR,v1
RE-2026-0050,BP-005,2026-10-03,24000.00,USD,v1
RE-2026-0051,BP-001,2026-10-27,12000.00,GBP,v1
RE-2026-0052,BP-004,2026-11-24,9500.00,CHF,v1
